,Fauna/Flora,Grupo,Família,Espécie (Simplificado),Nome Comum,Categoria de Ameaça,Sigla Categoria de Ameaça,Bioma,Principais Ameaças,Presença em Áreas Protegidas,Plano de Ação Nacional para Conservação (PAN),Ordenamento Pesqueiro,Nível de Proteção na Estratégia Nacional,Espécie exclusiva do Brasil,Estados de Ocorrência
2481,Flora, Angiospermas, Bromeliaceae, Nidularium azureum, , Em Perigo EN , EN, Mata Atlantica, Perda de Habitat Degradacao Induzida por Humanos , Nao, Nao, Nao,1, Sim, MG
2482,Flora, Angiospermas, Bromeliaceae, Nidularium bocainense, , Em Perigo EN , EN, Mata Atlantica, Vazio, Sim, Nao, Nao,2, Sim," RJ, SP"
2483,Flora, Angiospermas, Bromeliaceae, Nidularium corallinum, , Em Perigo EN , EN, Mata Atlantica, Vazio, Sim, Nao, Nao,2, Sim, SP
2484,Flora, Angiospermas, Bromeliaceae, Nidularium ferrugineum, , Criticamente em Perigo CR , CR, Mata Atlantica, Vazio, Sim, Nao, Nao,2, Sim, ES
2485,Flora, Angiospermas, Bromeliaceae, Nidularium itatiaiae, , Em Perigo EN , EN, Mata Atlantica, Distribuicao Restrita, Sim, Sim, Nao,2, Sim," MG, RJ, SP"
2486,Flora, Angiospermas, Bromeliaceae, Nidularium jonesianum, , Em Perigo EN , EN, Mata Atlantica, Vazio, Sim, Sim, Nao,2, Informacao nao disponivel," RS, SC, SP"
2487,Flora, Angiospermas, Bromeliaceae, Nidularium kautskyanum, , Em Perigo EN , EN, Mata Atlantica, Agropecuaria, Sim, Nao, Nao,2, Sim, ES
2488,Flora, Angiospermas, Bromeliaceae, Nidularium mangaratibense, , Criticamente em Perigo CR , CR, Mata Atlantica, Extracao de Nao Madereiras, Sim, Sim, Nao,2, Sim, RJ
2489,Flora, Angiospermas, Bromeliaceae, Nidularium minutum, , Vulneravel VU , VU, Mata Atlantica, Vazio, Sim, Nao, Nao,2, Sim, SP
2490,Flora, Angiospermas, Bromeliaceae, Nidularium organense, , Em Perigo EN , EN, Mata Atlantica, Desenvolvimento e Infraestrutura, Sim, Nao, Nao,2, Sim, RJ
2491,Flora, Angiospermas, Bromeliaceae, Nidularium rosulatum, , Vulneravel VU , VU, Mata Atlantica, Assentamentos Humanos Cidades, Sim, Sim, Nao,3, Sim, RJ
2492,Flora, Angiospermas, Bromeliaceae, Nidularium serratum, , Vulneravel VU , VU, Mata Atlantica, Perda de Habitat Degradacao Induzida por Humanos , Sim, Nao, Nao,2, Sim," ES, RJ"
2493,Flora, Angiospermas, Bromeliaceae, Nidularium utriculosum, , Vulneravel VU , VU, Mata Atlantica, Agropecuaria, Sim, Sim, Nao,2, Sim, RJ
2494,Flora, Angiospermas, Solanaceae, Nierembergia pinifolia, , Criticamente em Perigo CR , CR, Pampa, Perda de Habitat Degradacao Induzida por Humanos , Sim, Nao, Nao,2, Informacao nao disponivel, RS
2495,Flora, Angiospermas, Orobanchaceae, Nothochilus coccineus, , Em Perigo EN , EN, Mata Atlantica, Queimadas Agropecuaria, Sim, Nao, Nao,2, Sim," ES, MG"
2496,Flora, Angiospermas, Asteraceae, Noticastrum hatschbachii, , Em Perigo EN , EN," Mata Atlantica, Pampa", Perda de Habitat Degradacao Induzida por Humanos , Sim, Sim, Nao,2, Sim," RS, SC"
2497,Flora, Angiospermas, Asteraceae, Noticastrum malmei, , Em Perigo EN , EN, Mata Atlantica, Desenvolvimento e Infraestrutura, Sim, Sim, Nao,2, Sim," RS, SC"
2498,Flora, Angiospermas, Asteraceae, Noticastrum psammophilum, , Em Perigo EN , EN," Mata Atlantica, Pampa", Desenvolvimento e Infraestrutura, Sim, Sim, Nao,2, Sim," RS, SC"
2499,Flora, Angiospermas, Orchidaceae, Notylia microchila, , Em Perigo EN , EN," Amazonia, Cerrado, Mata Atlantica", Perda de Habitat Degradacao Induzida por Humanos , Sim, Nao, Nao,2, Nao," BA, ES, PA, PE"
2500,Flora, Angiospermas, Rutaceae, Nycticalanthus speciosus, , Criticamente em Perigo CR , CR, Amazonia, Assentamentos Humanos Cidades, Sim, Nao, Nao,2, Sim, AM
2501,Flora, Angiospermas, Poaceae, Ocellochloa brachystachya, , Criticamente em Perigo CR , CR, Cerrado, Vazio, Sim, Nao, Nao,2, Sim, MG
2502,Flora, Angiospermas, Lauraceae, Ocotea basicordatifolia, , Em Perigo EN , EN, Mata Atlantica, Perda de Habitat Degradacao Induzida por Humanos , Sim, Nao, Nao,2, Sim, SP
2503,Flora, Angiospermas, Lauraceae, Ocotea beulahiae, canela sassafras, Em Perigo EN , EN, Mata Atlantica, Perda de Habitat Degradacao Induzida por Humanos , Sim, Nao, Nao,2, Sim, SP
2504,Flora, Angiospermas, Lauraceae, Ocotea beyrichii, , Vulneravel VU , VU, Mata Atlantica, Perda de Habitat Degradacao Induzida por Humanos Assentamentos Humanos Cidades, Sim, Nao, Nao,2, Sim," MG, RJ, SP"
2505,Flora, Angiospermas, Lauraceae, Ocotea bragai, , Em Perigo EN , EN, Mata Atlantica, Assentamentos Humanos Cidades, Sim, Nao, Nao,2, Sim, SP
2506,Flora, Angiospermas, Lauraceae, Ocotea catharinensis, , Vulneravel VU , VU, Mata Atlantica, Extracao de Madeira Perda de Habitat Degradacao Induzida por Humanos , Sim, Sim, Nao,3, Sim," ES, MG, RJ, SC, SP, PR, SC"
2507,Flora, Angiospermas, Lauraceae, Ocotea confertiflora, , Vulneravel VU , VU, Mata Atlantica, Agropecuaria Extracao de Madeira Perda de Habitat Degradacao Induzida por Humanos , Sim, Sim, Nao,2, Sim," ES, RJ"
2508,Flora, Angiospermas, Lauraceae, Ocotea cryptocarpa, , Em Perigo EN , EN, Mata Atlantica, Perda de Habitat Degradacao Induzida por Humanos , Sim, Nao, Nao,2, Sim, ES
2509,Flora, Angiospermas, Lauraceae, Ocotea felix, , Em Perigo EN , EN, Mata Atlantica, Perda de Habitat Degradacao Induzida por Humanos , Sim, Nao, Nao,2, Sim, SP
2510,Flora, Angiospermas, Lauraceae, Ocotea mosenii, canela preta, Vulneravel VU , VU, Mata Atlantica, Perda de Habitat Degradacao Induzida por Humanos Poluicao Extracao de Madeira Mineracao, Sim, Nao, Nao,2, Sim, SP
